Prioriteetti;Yritys;Sivusto;Kaupunki;Toimiala;Puhelin;Sähköposti;Alusta;Webhotelli;Myyntikulma;Soitettu;Tulos
A;Oulun Muuttopalvelu;oulunmuuttopalvelu.fi;Oulu;Muuttopalvelu;0400 415 588;info@oulunmuuttopalvelu.fi;WordPress 6.8 (vanha);Hostingpalvelu.fi;Sama kuin Kotikantaja: muuttofirma, sama webhotelli → valmis referenssi.;;
A;Maalausliike J. Sukeva;maalauspalvelupori.fi;Pori;Maalaus;0400 830 780;juha.sukeva@hotmail.com;Staattinen;OVH;Kaksi erillistä sivustoa (myös maalausliikejsukeva.fi Dudalla) → hajottaa Google-näkyvyyden. Hotmail-osoite.;;
A;Maalausliike Rantamäki Oy;maalausrantamaki.com;Pori;Maalaus;044 343 2131;maalaus.rantamaki@gmail.com;WordPress;Xetnet (LiteSpeed);Gmail-osoite yhteystietona.;;
A;Rakmat Oy;rakmat.fi;Joensuu;Rakennus & remontit;045 634 5480;matti.pitkanen@rakmat.fi;WordPress;Netsor;Copyright 2020 – sisältö vuosia vanha.;;
A;NFC Rakennuspalvelu;nfcrakennuspalvelu.fi;Joensuu;Rakennus & remontit;040 730 2979;santeri.hakulinen@nfcrakennuspalvelu.fi;WordPress 7.1;Hostingpalvelu.fi;Copyright 2022. Sama webhotelli kuin PP-Kiinteistöpalveluilla.;;
A;Joen Kodin Rakentajat Oy;joenkodinrakentajat.fi;Joensuu;Rakennusliike;050 301 2412;info@joenkodinrakentajat.fi;Ei tunnistettu;Sveabyrån;Copyright 2018 – listan vanhin sivu.;;
A;Remontointi Joensuu;remontointijoensuu.fi;Joensuu;Remontit;050 575 8177;niko.tuomainen@tyopalvelujtoy.fi;WordPress 6.4 (hyvin vanha);Zoner;WordPress yli 2 vuotta päivittämättä → tietoturvariski, jonka voi näyttää ruudulta.;;
A;Hämeen Peltituote;hameenpeltituote.fi;Hämeenlinna;Peltituotteet & myymälä;044 972 9464;peltituote@gmail.com;Staattinen;OVH;Gmail-osoite, domainilla ei postia lainkaan.;;
A;Peltityöt J. Kokkinen;kattopeltityot.fi;Hämeenlinna;Kattotyöt;0400 708 111;jouko.kokkinen@kattopeltityot.fi;WordPress 6.8 (vanha);DNA;WordPress päivittämättä.;;
A;Hämeen Peltipaja Oy;hameenpeltipaja.fi;Hämeenlinna;Rakennuspeltityöt;040 147 9999;hameenpeltipaja@gmail.com;WordPress 7.1;Euronic;Etusivun otsikko on ”Yritys” – Google ei tiedä mitä firma tekee. Gmail-osoite.;;
A;Kiinteistöhuolto Rovaniemi Oy (Krova);kiinteistohuoltorovaniemi.fi;Rovaniemi;Kiinteistöhuolto;020 412 2022;huolto@krova.fi;WordPress 7.1;Zoner;Kolmen yrityksen fuusio 4/2025 – brändi (Krova) ja domain eri nimillä. Liikevaihto n. 1,4 M€.;;
A;NKK Rakennus Oy;nkkrakennus.fi;Kokkola;Remontit & lasitus;040 536 4551;kim.nisula@nkkrakennus.fi;Staattinen;OVH;Ei alustaa – jokainen muutos koodarin kautta.;;
A;Rakennus- ja Remontointi J. Hänninen Ky;saneerausmikkeli.fi;Mikkeli;Remontit;050 525 9650;info@saneerausmikkeli.fi;Staattinen;Zoner (posti);Pieni perheyritys, yksinkertainen sivu.;;
A;Polvijärven Hirsitalot Oy;polvijarvenhirsitalo.fi;Polvijärvi;Hirsitalot;050 323 6014;polvijarvenhirsitalo@gmail.com;WordPress;Zoner;Myy koko Suomeen, mutta yhteysosoite Gmail.;;
B;Kattotyöt Pro;kattotyot.pro;Seinäjoki;Kattotyöt;040 712 8888;;WordPress 7.1;Hostingpalvelu.fi;Sama webhotelli kuin PP-Kiinteistöpalveluilla – täsmälleen sama asennus.;;
B;Tmi Jussi Lintala;jussilintala.fi;Seinäjoki;Katto- ja peltityöt;0400 374 683;toimisto@jussilintala.fi;WordPress;Netsor;Yhden miehen yritys, tavallinen webhotelli.;;
B;Rakenne Center Oy;rakennecenter.fi;Seinäjoki;IV- ja kattoremontit;050 494 2699;asiakaspalvelu@rakennecenter.fi;Ei tunnistettu;Domainhotelli;Käyttää Meta-pikseliä, eli somemainontaa on jo. Kysy miten se toimii.;;
B;LVI Kannonlahti;lvikannonlahti.fi;Seinäjoki;LVI & maalämpö;050 586 1881;info@lvikannonlahti.fi;WordPress;ClouDNS;Posti samalla palvelimella → vain zip-asennus, DNS:ään ei kosketa.;;
B;Alavuden LVI;alavudenlvi.fi;Alavus / Seinäjoki;LVI & maalämpö;040 194 8332;kyosti.vahamaa@alavudenlvi.fi;HTML-sivupohja;Louhi;Meta-pikseli käytössä. Valmis sivupohja, ei sisällönhallintaa.;;
B;ProHuolto Tampere;prohuoltotampere.fi;Tampere;Kiinteistöhuolto;040 567 7434;toimisto@prohuoltotampere.fi;WordPress;Cloudpit;Etusivun otsikko on pelkkä yrityksen nimi → heikko hakunäkyvyys.;;
B;Oulun Pihamestarit;oulunpihamestarit.fi;Oulu;Piha- & maanrakennus;0400 153 468;info@oulunpihamestarit.fi;WordPress 7.1;Google Cloud;Posti Google Workspacessa → mikä tahansa asennustapa käy.;;
B;Oulun Maa- ja Vesirakennus Oy;omv.fi;Oulu;Maanrakennus;044 433 3002;;WordPress;Cloudpit;Etusivun otsikko on pelkkä ”OMV”. Voi olla listan isoimpia – tarkista koko ja päättäjä ennen soittoa.;;
B;Sähköurakointi Lahti (T-Seal Oy);sahkourakointilahti.fi;Lahti;Sähköurakointi;040 770 2132;;WordPress 7.1;Nodewebs;Perheyritys vuodesta 1994.;;
B;MPR Electrics Oy;mprelectrics.fi;Lahti;Sähköurakointi;040 526 5236;;WordPress;Cloudflare;27 sähköalan työntekijää – myy myös rekrytointisivua.;;
B;AK-Sähkö;aksahko.fi;Lahti;Sähköurakointi;044 401 3447;info@aksahko.fi;Ei tunnistettu;Datacenter.fi;Perheyritys vuodesta 1976, 20 hlö. Meta-pikseli käytössä.;;
B;LVI-Taiturit;lvi-taiturit.fi;Salo / Turku;LVI;044 333 3004;toimisto@lvi-taiturit.fi;WordPress 7.1;Shellit;Tavallinen WordPress-asennus.;;
B;LVI Elo Oy;lvielo.fi;Raisio;LVI;0400 820 665;myynti@lvielo.fi;WordPress 7.1;AWS;Posti Microsoft 365:ssä → DNS-muutos turvallinen.;;
B;Rennova;rennova.fi;Vaasa;Saneeraus;044 308 1889;maunu.ylimaki@rennova.fi;WordPress 7.1 (Elementor);SJR;Perheyritys: yksityiset ja taloyhtiöt.;;
B;Rakennuspalvelu Viiru;rakennusviiru.fi;Vaasa;Rakennusliike;050 559 0993;info@rakennusviiru.fi;WordPress 7.1 (Elementor);CloudCity;Tavallinen WordPress-asennus.;;
B;Priima Rakennus Oy;priimarakennus.fi;Vaasa;Rakennus & remontit;040 198 7230;antti@priimarakennus.fi;WordPress 7.1 (Elementor);Netim;Tavallinen WordPress-asennus.;;
B;Rakremma Oy (Martiskainen);rakremma.fi;Joensuu;Rakennus & remontit;0400 443 581;rakremma@rakremma.fi;WordPress 7.1 (Elementor);Louhi;Sama webhotelli kuin Alaojalla.;;
B;Rakennuspalvelu Nikkonen Oy;rakennuspalvelunikkonen.fi;Joensuu;Rakennusliike;050 575 1770;;ProcessWire;Domain247;Sivua ylläpidetään (© 2026) → kysy ensin nykyisestä tekijästä.;;
B;Autokorjaamo HarrinPaja;harrinpaja.fi;Kouvola;Autokorjaamo;040 718 0756;;WordPress;Netsor;Sama toimiala kuin MM Autopalvelut → referenssi valmiina.;;
B;Kuusaan Autotarvike;kuusaanautotarvike.fi;Kouvola;Autokorjaamo;0400 633 552;info@kuusaanauto.fi;WordPress;Euronic;Sama toimiala kuin MM Autopalvelut.;;
B;Meri-Lapin ja Rovaniemen Kiinteistöpalvelu;mlkiinteistopalvelut.fi;Rovaniemi;Kiinteistöhuolto;040 137 4455;;WordPress 7.1;mysecurecloudhost;Päivystysnumero sivun otsikossa.;;
B;Saneeraus ja Rakennus Peltsi;saneerausjarakennuspeltsi.fi;Mikkeli;Remontit;050 410 9757;jukka.peltonen@rakennuspeltsi.fi;WordPress 7.1 (Elementor);Cloudflare;Etusivun otsikko on ”ETUSIVU” → heikko hakunäkyvyys.;;
B;Lepta Rakennus Oy;lepta.fi;Kokkola;Talopaketit & remontit;045 117 9685;miikael.leppala@lepta.fi;WordPress;Netsor;Myy talopaketteja → hyötyisi Omian kaltaisesta ratkaisusivurakenteesta.;;
B;Peconra Oy;peconra.fi;Kokkola;Rakennusliike;040 731 1503;;Staattinen;Cloudflare;Etusivun otsikko on pelkkä ”Peconra Oy”.;;
B;Syöte-Huvilat Oy;syotehuvilat.fi;Saarijärvi;Hirsitalot;014 439 700;mikko.puurunen@syotehuvilat.fi;WordPress 7.1;Louhi;Kolmannen polven perheyritys.;;
